Rank,Name,Net Worth,Real Time Wealth,Age,State,Source of Wealth,Philanthropic Score,profile,url
108,Stewart & Lynda Resnick,$8 ,$8 ,N/A,California,"agriculture, water",3,"From almonds & oranges in California's Central Valley to grapefruits in South Texas, Stewart & Lynda Resnick owe their billions to nature's bounties.
Nearly half of all Americans purchase one of their products, including Halos mandarin oranges, POM Wonderful and Fiji Water.
In September 2019, they pledged $750 million to the California Institute of Technology for climate change crisis research.
Stewart bought his first farmland parcel in California in 1978 as a hedge against inflation, thus beginning their agricultural empire.
A gifted marketer, Lynda dropped out of college at 19 to start her own ad agency. Stewart hired her to work for his janitorial business.
They own a majority stake in the Kern Water Bank, one of California's largest underground water storage facilities.",https://www.forbes.com/profile/stewart-lynda-resnick/
108,Michael Rubin,$8 ,$8 ,49,Pennsylvania,online retail,1,"Michael Rubin is the founder and CEO of online sports merchandising retailer Fanatics.
After dropping out of Villanova University, Rubin started GSI Commerce, which he sold to eBay for $2.4 billion in 2011.
As part of the deal he paid $500 million for majority ownership of 3 assets eBay didn't want: Fanatics, Rue La La and ShopRunner.
In 2018, flash-sales site Rue La La acquired rival Gilt Groupe. In 2019, mall operator Simon Property Group took a 50% stake in the combined company.
Rubin sold ShopRunner to FedEx for an undisclosed amount in 2020. He still owns minority stakes in Fanatics and Rue Gilt Group.",https://www.forbes.com/profile/michael-rubin/
115,Reinhold Schmieding,$7.80 ,$7.60 ,66,Florida,medical devices,N/A,"Michigan native Reinhold Schmieding started Arthrex, an orthopedic surgical tools company, in 1981 in Munich, Germany.
Arthrex is now headquartered in Naples, Florida and has developed over 13,000 products used in shoulder, hip and other orthopedic surgeries.
Privately-held Arthrex has estimated revenues of $2.6 billion; Schmieding owns more than 90% of the company.
Schmieding is the son of German immigrants and his father is a dentist.",https://www.forbes.com/profile/reinhold-schmieding/
116,Ronald Wanek,$7.60 ,$7.20 ,80,Florida,furniture,1,"Ronald Wanek is the founder of America's largest home furniture manufacturer and retailer, Ashley Furniture.
Wanek grew up poor on a dairy farm in Minnesota, where his grandfather and great uncle built furniture as a hobby.
He started his first furniture manufacturing business, Arcadia Furniture, in 1970 with a loan from his father and money he got from selling his home.
Six years later he bought retailer Ashley Furniture, which had been around since the 1940s.
He is chairman of Ashley Furniture; his son Todd, also a billionaire, has been CEO since 2002.",https://www.forbes.com/profile/ronald-wanek/
117,Mitchell Rales,$7.50 ,$7 ,65,Maryland,"manufacturing, investments",1,"Mitchell Rales and his brother Steven acquired a real estate investment trust in 1983 and merged it into the firm Danaher.
Over the years they acquired more than three dozen companies and turned Danaher into an industrial firm with $22.3 billion in revenues.
In July 2016, Danaher spun off its industrial technologies, measurement and petroleum businesses into Fortive Corporation.
Mitchell Rales retired from his position at Fortive Corp. in 2021 but he is still chairman of Danaher's executive committee.
In June, he and his brother each transferred Danaher shares worth more than $1.5 billion to their charitable foundations.",https://www.forbes.com/profile/mitchell-rales/
117,David Shaw,$7.50 ,$7.50 ,70,New York,hedge funds,1,"A former computer science professor at Columbia University, David Shaw is the founder of D.E. Shaw, which manages over $55 billion in assets.
Known for its use of sophisticated mathematical modeling and algorithms, the quantitative hedge fund firm was founded in 1988.
In 2002, Shaw created an executive committee to oversee the company, and has since stepped away from its day-to-day operations.
Several former execs have started their own successful businesses, including Amazon founder Jeff Bezos and Two Sigma hedge fund's John Overdeck.
Shaw is now chief scientist at D.E. Shaw Research, a computational biochemistry research firm.",https://www.forbes.com/profile/david-shaw/
117,Ronda Stryker,$7.50 ,$7.50 ,67,Michigan,medical equipment,2,"Ronda Stryker is a director of Stryker Corp., the medical equipment company founded by her grandfather, Homer Stryker (d. 1980).
She owns about 6% of Stryker Corp. which she inherited from her parents; she is the only one of her siblings to serve on the board.
In 2011, she and her husband gave $100 million to create the Homer Stryker medical school at Western Michigan University.
In 2016 the couple pledged $20 million to the Harvard Medical School Department of Global Health and Social Medicine to support equitable health care.
Stryker and her husband donated $30 million to Spelman College in December 2018, the largest gift from living donors in the institution's history.",https://www.forbes.com/profile/ronda-stryker/
120,Jonathan Gray,$7.40 ,$7.90 ,51,New York,investments,2,"Jonathan Gray started at asset manager Blackstone Group fresh out of college in 1992 and later rose to head the firm's vaunted real estate group.
Under Gray, Blackstone's real estate division became one of its most valuable branches; it now manages $208 billion in investor capital.
He orchestrated the $26 billion buyout of Hilton hotels in 2007 then took it public again in 2013; the IPO was then the biggest ever for a hotel firm.
In February 2018, Gray was named the firm's COO and president; he's considered a potential successor to cofounder and CEO Steve Schwarzman.
Gray, whose sister-in-law died of ovarian cancer at age 44, has given over $100 million to BRCA- related cancer research.
He got his start working as a bus boy at his mother's catering company at age 14.",https://www.forbes.com/profile/jonathan-gray/
120,Patrick Ryan,$7.40 ,$7.80 ,84,Illinois,insurance,2,"Patrick Ryan is CEO and founder of Chicago based Ryan Specialty Group, a wholesale brokerage and specialty insurance firm.
His first brokerage, Ryan Insurance, merged with Combined Insurance in 1982 to form Aon, one of the largest insurance firms today.
He left Aon in 2008 after 41 years as CEO, and founded wholesale brokerage and specialty insurance firm Ryan Specialty Group two years later.
In July 2021, Ryan brought RSG public in July with an IPO that valued the company at $1.3 billion.
Ryan and his wife have given nearly $200 million to their alma mater, Northwestern.",https://www.forbes.com/profile/patrick-ryan/
120,Tim Sweeney,$7.40 ,$7.40 ,50,North Carolina,video games,1,"Tim Sweeney is cofounder and CEO of Cary, North Carolina game developer Epic Games.
The private company is the maker of Fortnite, one of the world's most popular games, with over 400 million players.
Epic generated $5.1 billion in revenue in 2020 and raised $1 billion in an April 2021 funding round that valued the company at $28.7 billion.
Fortnite was removed from the App Store in 2020 when Epic added a direct payment system to keep Apple from collecting a portion of in-app purchases.
In September 2021, a federal judge ordered Epic to pay Apple $6 million, but also ruled that Apple had to permit links to other payment options.
Epic Games is also the creator of the Unreal Engine, one of the most used game development tool kits for other studios.",https://www.forbes.com/profile/tim-sweeney/
123,"Paul Tudor Jones, II.",$7.30 ,$7.30 ,67,Florida,hedge funds,1,"Hedge fund manager Paul Tudor Jones II is known for his macro trades, particularly his bets on interest rates and currencies.
In 1980, he founded Tudor Investment Corporation, which now manages an estimated $11 billion in assets.
Jones got his start at his dad's small business paper, the Memphis Daily News, where he wrote under the name Paul Eagle in high school and college.
He cut his teeth trading cotton futures at the New York Cotton Exchange, under the tutelage of renowned cotton trader Eli Tullis.
In 1988, he cofounded the Robin Hood Foundation, with the goal of reducing poverty in New York City.",https://www.forbes.com/profile/paul-tudor-jones-ii/
124,Arthur Blank,$7.20 ,$7.70 ,79,Georgia,Home Depot,3,"Arthur Blank and Bernie Marcus cofounded Home Depot in 1978 after being fired from their jobs at a regional hardware store.
Blank retired as Home Depot's co-chairman in 2001 and bought the NFL's Atlanta Falcons for $545 million in 2002 (his stake's now worth $1.8 billion).
He brought pro soccer to Atlanta with his Major League Soccer team Atlanta United FC, which started playing in March 2017.
In August 2017, both of Blanks' teams moved into their new $1.5 billion home, Mercedes-Benz Stadium, which hosted the 2019 Super Bowl.
In 2012, he signed the Giving Pledge and committed to give more than half of his wealth away.",https://www.forbes.com/profile/arthur-blank/
124,"Edward Johnson, IV.",$7.20 ,$7.50 ,56,Massachusetts,money management,2,"Edward Johnson IV is the grandson of Edward Johnson II, who founded Fidelity Investments in 1946.
He is the brother of current Fidelity CEO and Chairman Abigail Johnson.
Johnson is the president of Pembroke Real Estate, which is owned by Fidelity's parent company FMR.
He owns a 5.56% stake in FMR, according to company documents filed with the Utah Department of Insurance in 2000.
The Johnson family is a major donor to nonprofits in Boston and has given to Harvard, Historic New England and the Institute of Contemporary Art.",https://www.forbes.com/profile/edward-johnson-iv/
124,George Lucas,$7.20 ,$7.10 ,77,California,Star Wars,3,"'Star Wars' creator George Lucas has largely retired from filmmaking since he sold his Lucasfilm to Disney in 2012 for $4.1 billion in stock and cash.
Lucas is now focused on philanthropy: his charitable family foundation has more than $1 billion in assets.
Lucas attended junior college in his hometown of Modesto, California where his parents ran a stationary store, before attending USC.
He founded Lucasfilm, his production company, in 1971 and built his fortune through his movies and their merchandise.
The Lucas Museum of Narrative Art will open in Los Angeles in 2021 and is entirely funded by Lucas and his wife, Mellody Hobson.",https://www.forbes.com/profile/george-lucas/
124,Michael Moritz,$7.20 ,$7.50 ,67,California,venture capital,2,"Wales native Michael Moritz got his start as a journalist at Time Magazine after emigrating to America in 1976.
Moritz wrote an early biography of Steve Jobs and Apple, ""The Little Kingdom,"" while Time's San Francisco bureau chief.
After making the jump to venture capital firm Sequoia Capital, Moritz invested in companies such as Google, LinkedIn and PayPal.
A diagnosis with a rare and undisclosed medical condition led Moritz to step back from a leadership role at Sequoia in 2012.
He continues to work with such current portfolio companies as Instacart, Stripe and Klarna, where he became chairman in December.
In 2020 Moritz invested in Turkish delivery outfit Getir; in 2021 Sequoia followed, making it the nation's most valuable startup, worth $2.6 billion.",https://www.forbes.com/profile/michael-moritz/
128,Richard Kinder,$7.10 ,$7.20 ,76,Texas,pipelines,3,"Kinder chairs oil and gas pipeline giant Kinder Morgan, the largest U.S. energy infrastructure firm, which owns or operates 84,000 miles of pipeline.
He cofounded Kinder Morgan in 1997 after stepping down as president of energy and commodities firm Enron Corp.
Kinder stepped down as CEO of Kinder Morgan in June 2015.
His Kinder Foundation funds education, urban green space and quality of life initiatives in Houston.
In October 2015, Kinder donated $25 million to the University of Missouri to support studies of the U.S. constitution.",https://www.forbes.com/profile/richard-kinder/
128,Jane Lauder,$7.10 ,$7.20 ,48,New York,Estée Lauder,N/A,"Jane Lauder, granddaughter of cosmetics legend Estée Lauder, is an executive vice president and chief data officer at Estée Lauder.
Lauder joined Estée Lauder in 1996, a year after graduating from Stanford.
Estée Lauder, which her grandmother cofounded in 1946, now has over 20 brands and revenues of $13.7 billion.
Jane Lauder has served on Estée Lauder's board of directors since 2009.
In 2018, she joined the board of Eventbrite, the ticketing and event technology company.",https://www.forbes.com/profile/jane-lauder/
128,Ralph Lauren,$7.10 ,$7.50 ,81,New York,apparel,1,"Ralph Lauren is executive chairman and chief creative officer of Ralph Lauren, his all-American fashion empire. He controls 84% of the voting rights.
Lauren started the business in 1967 in a tiny office at the Empire State building. His first breakthrough came when Neiman Marcus ordered 1,200 ties.
He stepped down from his position as CEO in 2015.
Born in the Bronx to Jewish immigrants, Ralph Lifshitz, as he was then known, worked as a part-time stock boy at a department store as a teenager.
For 30 years, Lauren has supported breast cancer research, cofounding Georgetown's Nina Hyde Center for Breast Cancer Research in 1989.",https://www.forbes.com/profile/ralph-lauren/
128,J. Christopher Reyes,$7.10 ,$7.10 ,67,Florida,food distribution,1,"Chris Reyes and his brother Jude co-chair Reyes Holdings, a $30 billion (sales) food and beverage distribution company.
The company got its start when the two brothers and their father bought a small Schlitz beer distributor in South Carolina for $740,000 in 1976.
Reyes is already the largest beer distributor in the U.S. and also owns two Coca-Cola bottlers and distributors.
Its customers include Heineken, Lagunitas, McDonald's and Chick-fil-A.
Reyes Beverage Group distributes 151 million cases of beer each year.",https://www.forbes.com/profile/j-christopher-reyes/
128,Jude Reyes,$7.10 ,$7.10 ,66,Florida,food distribution,1,"Together Jude Reyes and his brother Chris run Reyes Holdings, a $30 billion (sales) food and beverage distribution company.
The company got its start when the two brothers and their father bought a small Schlitz beer distributor in South Carolina for $740,000 in 1976.
Reyes is already the largest beer distributor in the U.S. and also owns two Coca-Cola bottlers and distributors.
In May 2017, Reyes Holdings announced that its soda distribution business would be expanding into California and Nevada.",https://www.forbes.com/profile/jude-reyes/
133,Ken Xie,$7 ,$7.50 ,58,California,cybersecurity,1,"Ken Xie is the cofounder and CEO of Fortinet, a cybersecurity firm that offers firewalls, cloud security and other services to businesses.
The son of two Chinese academics, Xie's parents hoped that he would become a professor and sent him to Stanford University to study engineering.
Xie became interested in entrepreneurship while at Stanford, founding his first company, a software firewall business named SIS, in 1993.
He started another cybersecurity firm, NetScreen, three years later, before founding Fortinet in 2000.
The California-based company, which went public on the Nasdaq in 2009, had $2.6 billion in 2020 revenue.",https://www.forbes.com/profile/ken-xie/
134,Jim Davis & family,$6.90 ,$7.20 ,78,Massachusetts,New Balance,2,"Jim Davis bought a small Boston shoemaker in 1972 and turned it into $3.6 billion (est. sales) New Balance.
Davis is the chairman of New Balance, and his wife Anna, who joined the company in 1977, is the vice chairman.
He and his family own an estimated 95% of the company, which is private.
New Balance is known for its running shoes but also makes clothing and equipment for lacrosse and soccer.
He got his start working for his father's restaurants as a ""lumper"" carrying trays.
At college he studied biology and chemistry, thinking he'd work in medicine, until one of his professors suggested his talent might be in sales.",https://www.forbes.com/profile/jim-davis/
134,John Morris,$6.90 ,$7.40 ,73,Missouri,sporting goods retail,2,"John Morris is founder and CEO of $6.5 billion (sales) outdoor gear retailer Bass Pro Shops.
Morris started the company in 1972 by selling fish tackle from the back of his father's liquor store in Springfield, Missouri.
In 2017, he bought rival Cabela's for $5 billion, nearly doubling the size of Bass Pro Shops.
His Bass Pro Group also owns the world's largest boat manufacturer by volume, White River Marine Group, which makes fishing and recreational boats.
A noted conservationist, Morris spent $300 million to build a 350,000 square-foot museum and aquarium in Missouri that opened in 2017.",https://www.forbes.com/profile/john-morris/
134,Sun Hongbin,$6.90 ,$5.10 ,58,China,real estate,N/A,"Sun Hongbin is the founder and chairman of Sunac China Holdings, one of China's largest real estate developers.
Sunac is headquartered in Tianjin, and its shares trade on the Hong Kong Stock Exchange.
Sunac has expanded into the entertainment and hotel business by acquiring assets from China's Wanda Group.
Sun, a U.S. citizen, received his master's degree from Tsinghua University and completed an advanced management program at Harvard Business School.",https://www.forbes.com/profile/sun-hongbin/
134,Anthony Wood,$6.90 ,$5.70 ,55,California,Roku,1,"Anthony Wood is the founder and CEO of Roku, a tech company that lets users stream content on their TVs.
He launched Roku in 2002 after selling his previous business, ReplayTV, to SONICblue.
Roku now has more than 51 million customers who streamed nearly 59 billion hours of content in 2020.
Wood was always making things, building tree houses in elementary school and writing software in high school.",https://www.forbes.com/profile/anthony-wood/
138,Stanley Druckenmiller,$6.80 ,$6.80 ,68,New York,hedge funds,3,"Stanley Druckenmiller made it big as a hedge fund manager for 30 years. He now manages his money through a family office.
Until 2000, he worked for George Soros. The duo famously bet against the British pound in 1992 and made massive profits.
He shut down his $12 billion hedge fund Duquesne Capital Management in August 2010, returning funds to clients.",https://www.forbes.com/profile/stanley-druckenmiller/
138,Jeff Skoll,$6.80 ,$6.30 ,56,California,eBay,4,"Jeff Skoll built his fortune as eBay's first full-time hire and president in 1995; he left eBay in 2001, three years after its IPO.
His Skoll Foundation quadrupled its grants to $200 million in 2020 in response to the pandemic.
The Skoll Foundation and Skoll Global Threats Fund have distributed about $600 million worldwide, aiming to reduce poverty, among other goals.
In 2016 his Participant Media movie production firm won its first best picture Academy Award for the film ""Spotlight.""
Skoll founded millennial-focused cable TV channel Pivot TV in 2013 but shut it down in late 2016.",https://www.forbes.com/profile/jeff-skoll/
138,Dennis Washington,$6.80 ,$6.90 ,87,Montana,"construction, mining",3,"Dennis Washington parlayed an early love of machinery into a diversified business group called Washington Companies.
Washington owns a copper mine, a regional railroad and a shipbuilding business.
The day after high school graduation in 1952, he headed to Alaska where he started out greasing equipment, then became a heavy-crane operator.
After working for his uncle's construction business, he struck out on his own with a $30,000 loan to start Washington Construction.
He and his wife, Phyllis, have given some $960 million to their foundation, which in turn has doled out around $340 million to 1,200 groups.",https://www.forbes.com/profile/dennis-washington/
141,Micky Arison,$6.70 ,$6.80 ,72,Florida,Carnival Cruises,1,"Micky Arison is chairman of the world's largest cruise ship operator, Carnival Corp.
He spent 34 years as CEO of Carnival, helping grow its fleet from two ships to more than 100, before stepping down in June 2013.
Born in Tel Aviv, he immigrated to the U.S. as a young child with his father, Ted Arison (d. 1999), who cofounded Carnival in 1972 with a single ship.
When Carnival was founded, Arison dropped out of the University of Miami to become a sales rep for the cruise line.
In 1995, he took control of the Miami Heat, the NBA franchise his father helped bring to Florida. Since then the team has won three NBA championships.",https://www.forbes.com/profile/micky-arison/
141,Michael Kim,$6.70 ,$6.70 ,58,private equity,private equity,1,"Michael Kim cofounded MBK Partners, the Seoul-based private equity firm that bears his initials and manages more than $20 billion in assets.
His ING Insurance Korea, which went public in 2017, was the first company wholly owned by a private equity firm to list on the Korean exchange.
In September 2015 his firm's $6.1 billion takeover of Tesco's Korean operation, Homeplus, marked the country's biggest private-equity deal to date.
Kim was born in South Korea and was educated in the U.S. from preparatory school onward; he obtained U.S. citizenship along the way.
He is an avid art collector and sits on the board of the Metropolitan Museum of Art.",https://www.forbes.com/profile/michael-kim/
141,Robert F. Smith,$6.70 ,$6.70 ,58,Texas,private equity,2,"Robert F. Smith founded private equity firm Vista Equity Partners in 2000. It focuses exclusively on investing in software companies.
With over $50 billion in assets, Vista is one of the best-performing private equity firms, posting annualized returns of 22% since inception.
In October 2020, Smith entered into an agreement with the DOJ and IRS, agreeing to pay $139 million for his role in a tax evasion scheme.
As a college student, Smith secured an internship at Bell Labs after calling the company every week for five months.
An engineer by training, he worked at Kraft Foods and Goodyear Tire before getting his MBA at Columbia University.
During a commencement speech, Smith vowed to wipe out the student debt of the entire 2019 graduating class of Morehouse College.",https://www.forbes.com/profile/robert-f-smith/
141,David Sun,$6.70 ,$6.70 ,69,California,computer hardware,1,"David Sun cofounded and helps run Kingston Technology, which makes storage and memory products, as COO from a cubicle on the sales floor.
With longtime partner John Tu, Sun launched a computer memory business out of a garage and sold it to now defunct PC maker AST a few years later.
The pair started Kingston by making surface-mount memory chips after losing most of their first fortune in the stock market.
Sun and his wife, Diana, have a foundation that provides grants to education programs for under-served youth in the U.S. and Taiwan.
The company's name comes from one of John Tu's favorite bands, the Kingston Trio.",https://www.forbes.com/profile/david-sun/
141,John Tu,$6.70 ,$6.80 ,80,California,computer hardware,1,"Kingston Technology CEO John Tu runs the firm, which makes storage and memory products, from a cubicle on sales floor.
With longtime partner David Sun, Tu launched a computer memory business out of a garage and sold it to now defunct PC maker AST a few years later.
After losing a fortune in the stock market in 1987, the pair started Kingston to manufacture surface-mount memory chips.
Tu, a Chinese native who grew up in Taiwan, got an engineering degree in Germany and then immigrated to the U.S. in 1971.
Tu's first jobs in the U.S. included running a one-man gift shop with imported Chinese collectibles and selling commercial real estate",https://www.forbes.com/profile/john-tu/
146,Henry Samueli,$6.60 ,$7.20 ,67,California,semiconductors,1,"Henry Samueli is a cofounder of chipmaker Broadcom.
Samueli started Broadcom with fellow billionaire Henry Nicholas in 1991 in a Redondo Beach, Calif. condominium.
In 2016, Broadcom was acquired by Singapore-based chip firm Avago for $37 billion in cash and stock.
Samueli and his wife bought the Anaheim Ducks hockey team for $70 million in 2005; it's now worth $360 million.
The Samuelis donated $200 million to the University of California, Irvine in 2017, the largest gift in the school's history.",https://www.forbes.com/profile/henry-samueli/
147,Judy Faulkner,$6.50 ,$6.10 ,78,Wisconsin,health IT,1,"Judy Faulkner founded America's leading medical-record software provider, Epic, in a Wisconsin basement in 1979.
Faulkner, a computer programmer, is still CEO of the $3.3 billion (2020 sales) company.
Epic supports the medical records of over 250 million patients and is used by top medical centers such as Johns Hopkins and Mayo Clinic.
The company has never raised venture capital or made an acquisition, and develops all its software in-house.
Faulkner signed the Giving Pledge in 2015 and has agreed to eventually gift 99% of her assets to a private charitable foundation.",https://www.forbes.com/profile/judy-faulkner/
147,Philippe Laffont,$6.50 ,$6.50 ,54,New York,hedge fund,1,"Philippe Laffont runs Coatue Management, a hedge fund and venture capital investor that focuses on technology-themed investing.
Laffont founded Coatue Management in 1999. He is a so-called Tiger Cub, having spent time working at Julian Robertson's Tiger Management hedge fund.
Coatue Management has $25 billion in overall assets under management.
Coatue has invested in Tik Tok-parent Bytedance, Snapchat parent Snap and music streaming service Spotify, among many other companies.",https://www.forbes.com/profile/philippe-laffont/
147,John Overdeck,$6.50 ,$6.50 ,51,New Jersey,hedge funds,2,"John Overdeck is the co-founder of Two Sigma, a quantitative trading powerhouse with $60 billion under management.
Two Sigma is a data-driven hedge fund that absorbs large amounts of information to predict the prices of securities.
Two Sigma also runs a market-making business, owns a Bermuda reinsurance company, operates a venture capital arm, a private equity arm and invests in real estate.
Overdeck has given $195 million to his charitable foundation, tax filings show. It supports children's education programs.
Overdeck was a math prodigy who won a silver medal at the International Mathematical Olympiad at age 16.",https://www.forbes.com/profile/john-overdeck/
147,David Siegel,$6.50 ,$6.50 ,60,New York,hedge funds,1,"David Siegel is the cofounder of Two Sigma, a quantitative trading powerhouse that manages $60 billion.
Two Sigma is a data-driven hedge fund that absorbs large amounts of information to predict the prices of securities.
Two Sigma also runs a market-making business, owns a Bermuda reinsurance company, operates a venture capital arm, operates a private equity arm and invests in real estate.
Born in the Bronx, Siegel is a computer fanatic who got a computer science Ph.D. from MIT and worked at hedge funds D.E. Shaw and Tudor Investments.
Siegel's charitable foundation, Siegel Family Endowment, is focused on technology and society and supports programs such as the MIT Center for Brains, Minds and Machines.",https://www.forbes.com/profile/david-siegel-1/
151,Neil Bluhm,$6.40 ,$6.90 ,83,Illinois,real estate,2,"Real estate tycoon Neil Bluhm is the owner of marquee Chicago properties like 900 North Michigan and the Ritz Carlton.
Bluhm also owns several casinos in Pittsburgh, Philadelphia, Chicago and Schenectady, New York.
After attending law school and working as an attorney in Chicago, he cofounded JMB Realty in 1970.
Bluhm's online gaming outfit Rush Street Interactive went public in 2020 through a reverse merger with a blank check company.
Bluhm is a managing director for Walton Street Capital and is a trustee of the Art Institute of Chicago and Whitney Museum of American Art.
He owns a minority stake in the Chicago Bulls and Chicago White Sox.",https://www.forbes.com/profile/neil-bluhm/
151,James Chambers,$6.40 ,$6 ,64,New York,"media, automotive",1,"James Cox Chambers inherited an estimated 17% stake in media and automotive conglomerate Cox Enterprises from his mother Anne Cox Chambers.
His grandfather, James M. Cox, founded what became Cox Enterprises in 1898.
Both his sisters, Katharine Rayner and Margaretta Taylor, also inherited an estimated 17% stake each in Cox Enterprises.
Neither James nor his sisters or mother have ever had an active role in the company.
His cousin, Jim Kennedy, is chairman of Cox Enterprises.",https://www.forbes.com/profile/james-chambers/
151,Ken Fisher,$6.40 ,$6.80 ,70,Texas,money management,N/A,"Fisher is executive chairman and co-chief investment officer of Fisher Investments, which he founded in 1979 with $250.
The firm ended 2020 with $159 billion in assets under management.
The author of 11 books, 6 of which are national best sellers, he now writes for USA Today, the Financial Times and several other publications.
In the summer of 1964, a 13-year-old Fisher earned $1.20 an hour picking fruit, sawing and fertilizing in his native San Mateo County, California.
Fisher dropped out of high school ""because it was a waste of time"" and headed to college where he could ""take better classes.""",https://www.forbes.com/profile/ken-fisher/
151,Katharine Rayner,$6.40 ,$6 ,76,New York,"media, automotive",1,"Katharine Rayner inherited an estimated 17% stake in media and automotive conglomerate Cox Enterprises from her mother, Anne Cox Chambers.
Cox Enterprises, a private media and automotive conglomerate started by Rayner's grandfather, has $19.2 billion in revenues.
Her siblings, James Chambers and Margaretta Taylor, also inherited an estimated 17% stake each in Cox Enterprises.
Neither Rayner nor her siblings or mother have ever had an active role in the company.
Her cousin, Jim Kennedy, is chairman of Cox Enterprises.",https://www.forbes.com/profile/katharine-rayner/
151,Harry Stine,$6.40 ,$6.80 ,79,Iowa,agriculture,1,"Farm boy turned seed-genetics savant Harry Stine has made a fortune licensing corn and soybean genetics to multinationals like Monsanto and Syngenta.
Stine founded and runs Stine Seed; his current obsession is tinkering with seed genetics that allow for better yields or pesticide resistance.
The son of a hardscrabble farmer, Stine became fascinated with seeds when he was a boy growing up in Iowa.
He started farming at just five years old, driving a tractor to pick up straw bales.
Stine, who is dyslexic and mildly autistic, is also a math and data wiz and a formidable negotiator.
In the 1990s he struck highly lucrative licensing deals with large multinational corporations across the globe, which form the backbone of his empire.
He's donated to numerous Iowa institutions, including McPherson College, Drake University and Spurgeon Manor, a skilled nursing facility for seniors.",https://www.forbes.com/profile/harry-stine/
151,Margaretta Taylor,$6.40 ,$6 ,79,New York,"media, automotive",1,"Margaretta Taylor inherited an estimated 17% stake in media and automotive conglomerate Cox Enterprises from her mother, Anne Cox Chambers.
Her grandfather, James M. Cox, founded what has become Cox Enterprises in 1898.
Her siblings, James Chambers and Katherine Rayner, also inherited an estimated 17% stake each in Cox Enterprises.
Margaretta's son Alex Taylor is president and CEO of Cox Enterprises, a $19 billion (revenues) media and automotive company.
Her cousin, Jim Kennedy, is chairman of Cox Enterprises.",https://www.forbes.com/profile/margaretta-taylor/
151,Meg Whitman,$6.40 ,$5.50 ,65,California,eBay,2,"Meg Whitman is best known for taking eBay from $5.7 million to $8 billion in sales as CEO from 1998 to 2008.
She was CEO of Hewlett-Packard from 2011 to 2015, where she oversaw its split into HP Inc. and Hewlett Packard Enterprise.
She stepped down as HPE's chief executive in February 2018. She sits on the boards of Procter & Gamble and Dropbox.
Whitman was CEO of the defunct short form video platform Quibi, which shuttered in October 2020, just seven months after it launched.
In 2018, Whitman invested in LA-based e-sports company Immortals LLC and took a seat on the board.",https://www.forbes.com/profile/meg-whitman/
158,Orlando Bravo,$6.30 ,$6.30 ,51,Florida,private equity,1,"Wall Street's hottest dealmaker, Orlando Bravo is the first Puerto Rican-born billionaire.
Bravo's firm Thoma Bravo, which focuses solely on software deals, was ranked as world's top buyout investor in a 2019 report.
In 2008, Thoma and Bravo split with healthcare-focused partner Brian Cressey and created Thoma Bravo, a software dedicated buyout shop.
Bravo, who once ranked as a top 40 junior tennis player, roomed with eventual French Open winner Jim Courier at Nick Bollettieri's tennis academy.
Bravo, who filled planes with supplies after Hurricane Maria hit Puerto Rico, has committed $100 million to supporting the island's entrepreneurs.",https://www.forbes.com/profile/orlando-bravo/
158,Tilman Fertitta,$6.30 ,$6.30 ,64,Texas,"Houston Rockets, entertainment",1,"Tilman Fertitta is the owner of the Houston Rockets. The NBA approved the $2.2 billion purchase by Fertitta in October 2017.
Fertitta also owns the Golden Nugget Casinos and Landry's, a Texas-based restaurant and entertainment company.
Landry's brands include Landry's Seafood House, Bubba Gump Shrimp Co. and Saltgrass Steak House.
Fertitta took Landry's private in 2010 in a deal worth $1.4 billion.
Fertitta released his first book titled ""Shut Up And Listen!"" in September, detailing his experiences in the dining and entertainment industries.",https://www.forbes.com/profile/tilman-fertitta/
158,Melinda French Gates,$6.30 ,$6.30 ,57,Washington,Microsoft,4,"Melinda French Gates is one of the most powerful woman in philanthropy as co-chair of the Bill and Melinda Gates Foundation.
In early May 2021, Bill and Melinda Gates announced they were getting divorced but will still remain co-chairs of the foundation.
Melinda also became a billionaire on her own after Bill Gates transferred her $2.4 billion worth of stock in early May 2021, according to filings.
As part of the foundation's mission to help all people lead healthy, productive lives, she has devoted much of her work to women's and girls' rights.
In her next chapter, Gates' mission is to close the funding gap for female founders, through her investment and incubation company, Pivotal Ventures.",https://www.forbes.com/profile/melinda-french-gates/
161,Dannine Avara,$6.20 ,$6.20 ,57,Texas,pipelines,1,"Dannine Avara and her three siblings inherited Enterprise Products Partners, the energy pipeline giant founded by their late father, Dan Duncan.
Formerly the richest person in Houston, Duncan died in 2010 at age 77 of a brain hemorrhage.
Duncan started Enterprise Products in 1968 with $10,000 and a truck; now it owns nearly 50,000 miles of natural gas, oil and petrochemical pipelines.
Avara's sister Randa Duncan Williams is the only sibling on the board of the company.",https://www.forbes.com/profile/dannine-avara/
161,Scott Duncan,$6.20 ,$6.20 ,38,Texas,pipelines,1,"Scott Duncan and his three older siblings each inherited a stake in their father Dan Duncan's pipeline firm, Enterprise Products Partners, in 2010.
Founded in 1968, the company owns natural gas processing plants, oil and gas storage facilities and about 50,000 miles of oil and gas pipelines.
While his sister Randa Williams serves as non-executive chairman of Enterprise Products, Duncan and his other two siblings are not actively involved.",https://www.forbes.com/profile/scott-duncan/
